id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
863379550388151216,Rental unit in Dallas · ★4.50 · 1 bedroom · 1 bed · 1 bath,303776351,Roger,,District 12,33.00816583561945,-96.82627107546061,Entire home/apt,100,1,6,2023-06-21,3.00,7,363,6,
863512274722166415,Home in Dallas · 1 bedroom · 1 bed · 1 shared bath,440353994,C,,District 5,32.759864433079294,-96.66715060318884,Private room,77,14,0,,,1,364,0,
863736558840264707,Hotel in Dallas · 1 bedroom · 2 beds · 1 private bath,21853645,Tonya,,District 11,32.9220774,-96.7717387,Private room,354,1,0,,,1,43,0,
863901186089166223,Home in Dallas · 1 bedroom · 1 bed · 1 private bath,413515801,Michael,,District 14,32.7948954737304,-96.7851697281003,Private room,55,1,2,2023-04-17,0.61,2,338,2,
864318443156045201,Home in Dallas · ★4.83 · 4 bedrooms · 6 beds · 2 baths,449085414,OWDLIFE Carmen,,District 1,32.746926468098344,-96.87285560710198,Entire home/apt,275,2,6,2023-05-29,1.88,1,3,6,
864400416686446593,Rental unit in Dallas · ★4.85 · 1 bedroom · 1 bed · 1 bath,452920080,Silicon,,District 1,32.74871066797979,-96.8503592201841,Entire home/apt,64,1,13,2023-07-09,4.24,3,334,13,
864501030829690930,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,339857476,Andela,,District 2,32.82615,-96.85128,Entire home/apt,147,1,1,2023-04-26,0.37,16,365,1,
864622492078090672,Rental unit in Dallas · ★5.0 · 1 bedroom · 1 bed · 1 bath,93539315,Kate,,District 14,32.80869641294073,-96.80869725617025,Entire home/apt,143,1,29,2023-07-09,9.06,2,352,29,
864778478255052859,Guesthouse in Dallas · 1 bedroom · 2 beds · 1 bath,114702110,Jess,,District 4,32.742387543909594,-96.78901557127975,Entire home/apt,120,1,0,,,3,332,0,
865172998546129256,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,339857476,Andela,,District 2,32.82810605317549,-96.85053075254724,Entire home/apt,142,1,0,,,16,364,0,
865202327608310265,Home in Dallas · 4 bedrooms · 4 beds · 4.5 baths,308850424,Libby,,District 14,32.812137962139815,-96.76721532416023,Entire home/apt,498,30,1,2023-05-01,0.39,4,350,1,
865217373038849208,Rental unit in Dallas · 1 bedroom · 2 beds · 1 bath,458945186,Gar Rentals,,District 2,32.794921644834105,-96.77526049394685,Entire home/apt,59,1,1,2023-04-13,0.32,2,205,1,
865298781520934989,Rental unit in Dallas · ★4.60 · 1 bedroom · 1 bed · 1 bath,270145910,Bright,,District 11,32.93934417716126,-96.81042548916813,Entire home/apt,75,3,5,2023-07-02,1.74,1,360,5,
865445539258969676,Rental unit in Dallas · ★4.80 · 1 bedroom · 1 bed · 1 bath,452920080,Silicon,,District 1,32.75008263659102,-96.85054649586118,Entire home/apt,75,1,10,2023-07-11,3.49,3,349,10,
865449429784032797,Home in Dallas · 1 bedroom · 1 bed · 1 shared bath,469311339,Chanh,,District 6,32.78425252238324,-96.87228487033053,Private room,48,1,0,,,7,352,0,
865863418862634931,Home in Dallas · ★4.86 · 3 bedrooms · 4 beds · 3.5 baths,508100612,Tanner,,District 14,32.79927,-96.78356,Entire home/apt,155,1,7,2023-06-29,2.28,1,325,7,
865884574278897138,Rental unit in Dallas · ★4.0 · 1 bedroom · 1 bed · 1 bath,421795477,King,,District 2,32.79690638093524,-96.77547263424354,Entire home/apt,85,1,7,2023-06-26,2.23,2,359,7,
866026001017051923,Home in Dallas · ★4.75 · 4 bedrooms · 5 beds · 2 baths,435488432,Paul,,District 4,32.73914787758902,-96.8037153866624,Entire home/apt,156,1,8,2023-07-03,3.33,2,261,8,
866065975573223279,Home in Dallas · ★New · 2 bedrooms · 3 beds · 2.5 baths,93023447,Cadi,,District 14,32.80928021777743,-96.73143896100567,Entire home/apt,245,2,0,,,1,361,0,
866108019061622224,Rental unit in Dallas · ★5.0 · 1 bedroom · 2 beds · 1 bath,421058500,Que,,District 14,32.80166255644379,-96.76602576208874,Entire home/apt,137,2,13,2023-07-02,4.64,2,232,13,
866180840193295712,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,249888666,Amarion,,District 8,32.65960208053855,-96.88541628420354,Entire home/apt,82,3,0,,,1,86,0,
866485823609837200,Rental unit in Dallas · ★5.0 · 1 bedroom · 3 beds · 1 bath,498579365,Reginald,,District 2,32.77668846994071,-96.79640628366722,Entire home/apt,74,1,5,2023-06-17,1.76,21,357,5,
866515379161563493,Home in Dallas · 1 bedroom · 1 bed · 1 shared bath,98923516,Vipin,,District 13,32.92042003683654,-96.81324823814258,Private room,27,1,0,,,1,0,0,
866618393782529144,Hotel in Dallas · 1 bedroom · 1 bed · 1 bath,501999514,RoomPicks,,District 10,32.91709599744289,-96.74366887656089,Private room,81,1,0,,,35,335,0,
866619684148819736,Hotel in Dallas · 1 bedroom · 1 bed · 1 bath,501999514,RoomPicks,,District 10,32.91906840692629,-96.74362166994531,Private room,88,1,1,2023-06-25,1,35,364,1,
866621966824337063,Hotel in Dallas · 1 bedroom · 1 bed · 1 bath,501999514,RoomPicks,,District 10,32.91702,-96.74262,Private room,139,1,0,,,35,360,0,
866622814238959950,Hotel in Dallas · 1 bedroom · 1 bed · 1 bath,501999514,RoomPicks,,District 10,32.917162415881606,-96.74408034229393,Private room,127,1,0,,,35,364,0,
866623778495494057,Hotel in Dallas · 1 bedroom · 1 bed · 1 bath,501999514,RoomPicks,,District 10,32.91890544744137,-96.74242925233719,Private room,127,1,1,2023-06-24,1,35,364,1,
